FECHA,IN0081-Control Presostato No Hay Aire en Red.x,IN0191-Control Automático Extractor Humo,Dbx 27.1,Falta Comunicación PLC Depósito,IN0273-Control Rosca Salida,IN0241-Control Presostato Correa Ventilad. 2 Campana,IN0570-Control Estrella Entrada,IN0054-Señal Ftc Presencia Botella Caída,Estrellas Llenadora,IN0086-Control Sobretemperatura Armario,Alimentador Tapones Vacío,IN0090-Control Automático Motor Cinta,Dbx 35.1,Error Acoplam. Enjuagadora,INA0227-Avería Sonda Presión Circuito Vacío Bajo,IN0034-Control Disp. Automáticos Intervenidos Grave,IN0180-Control Presostato Tratamiento 1,IN0186-Control Presostato Soplado Gotas,IN0377- Ajuste Auto. Anillo Dispositivos,IN0320-IN0321-Leva Desc. Conos Delanteros Desalin.,IN0305-Control Botella Explotada Salida,IN0196-Control Presostato Correa Ventilador 1 Campana Enjuagadora,IN0234-Control Posición Pirómetro,IN0484-Control Bloq. Inversor Motor Cabezales (,Botella Rota TV,IN0954-Control Automáticos Circuitos 480V CA Drive,OUT0031-Mando Disposit. Engrase,IN0052-Señal Bloq. Botellas Activad. de Línea,OUT0204-Lubricación en Curso,Vel. Lenta Seleccionada,INA0227-Vacío Bajo Demasiado Alto,IN0002-Auxiliares No Presentes,IN0047-Señal Lenta de Línea Salida,IN0083-Selector Panel de Mando Volante Habilitado,IN0474-Control Protecciones Delanteras Abiertas,IN0046-Señal Paro de  Línea Salida,IN0040-Señal Ftc Lenta Ninguna Botella Entrada,INA0200-Nivel Mínimo Depósito,INA0227-Vacío Bajo Demasiado Bajo,IN0042-Señal Paro Ftc Acum. Bot. Salida.y,IN0475-Control Protecciones Traseras Abiertas,Señal Ftc Lenta Acum. Bot. Salida,Elevación en Curso,IN0081-Control Presostato No Hay Aire en Red.y,IN0061-Control Presostato No Gas Inerte,INA0200-Nivel Máximo Depósito,Máquina ligeramente Desfasada,IN0594-Control Auto. Motor Ajuste Émbolos,OUT0207-Presión Cilindros Demasiado Baja
2022-12-13,0,4,2,1,0,7,4,5,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,207,89,211,111,155,114,33,31,35,15,3,3,16,0,0,0,0,0,0,0,0,0
2022-12-14,0,2,0,1,0,4,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,273,70,113,57,81,151,33,9,85,29,10,4,1,0,3,0,0,0,0,0,0,0
2022-12-15,0,4,1,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,249,65,102,100,148,121,62,41,39,28,7,6,6,4,3,0,0,0,3,0,0,0
2022-12-16,0,10,4,1,0,4,2,5,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,498,57,126,128,183,311,100,10,130,3,2,14,19,0,26,0,0,0,0,3,0,0
2022-12-17,0,26,2,2,0,3,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,221,62,39,33,71,118,28,13,56,4,12,2,0,0,9,0,0,0,0,0,0,0
2022-12-20,0,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,121,61,9,29,33,60,3,3,18,0,0,0,7,0,0,0,0,0,0,0,0,0
2022-12-21,0,3,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,187,101,79,732,31,82,19,17,39,0,1,0,0,0,2,0,0,0,0,0,0,0
2022-12-22,0,16,1,0,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,165,92,86,1717,46,48,10,6,23,5,2,1,2,0,2,0,0,0,0,0,0,0
2022-12-23,0,51,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,377,74,87,31,53,240,10,6,74,8,19,6,1,0,4,0,0,0,0,0,0,0
2022-12-24,0,20,1,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,131,36,62,20,38,51,23,19,8,16,10,2,0,0,0,0,0,0,0,0,0,0
2022-12-26,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,135,34,69,43,102,63,69,10,21,4,36,9,6,0,0,5,1,2,0,0,0,0
2022-12-27,0,6,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,202,73,110,49,62,130,23,13,42,14,14,1,8,0,0,0,0,0,0,0,0,0
2022-12-28,0,3,0,1,0,1,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,273,79,217,57,118,154,10,20,80,14,2,16,7,0,1,0,0,0,0,0,0,0
2022-12-29,0,1,0,3,0,4,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,212,44,193,74,106,141,33,18,33,15,25,0,11,0,0,0,0,0,0,0,0,0
2022-12-30,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,424,73,132,52,74,258,19,10,69,55,2,12,26,5,3,0,0,0,0,0,0,0
2022-12-31,0,0,0,1,1,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,38,14,6,23,58,6,6,5,4,2,4,6,1,0,0,0,0,0,0,0,0,0
2023-01-03,0,0,3,0,0,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,22,95,45,124,46,77,35,16,25,10,29,5,0,1,0,0,0,0,0,0,0
2023-01-04,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,332,53,152,42,56,186,6,2,29,10,4,7,3,1,3,0,0,0,0,0,0,0
