FECHA,IN0470-Control Estrella Entrada,IN0517-Control Caja Compresión Abierta,IN0070-Señal Bloqueo Inversor Motor Principal,Estrellas Enjuagadora,Faltan Corchos en Botellas.x,IN0250-Control Presostato Atascamiento Filtro 1 Campana,IN0577-Control Botella Colgada,IN0294-Control Auto. Bomba Vacío Alto,IN0574-Control Protecciones Delanteras Abiertas,IN0575-Control Protecciones Traseras Abiertas,Mando Manual Habilitado,IN0291-Control Auto. Motor Ajuste Depósito,CIP-Señal de CIP de Alarma,Máquina Desfasada,IN0476-Control Protecciones Laterales Abiertas
2023-04-12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2023-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023-04-17,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
2023-04-18,0,0,0,0,0,0,0,0,34,1,0,0,0,0,2
2023-04-19,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2023-04-20,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0
2023-04-21,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2023-04-22,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2023-04-24,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1
2023-04-25,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0
2023-04-26,3,1,2,1,1,0,0,0,46,4,0,0,0,0,1
2023-04-27,2,0,0,1,0,0,0,0,66,3,0,0,1,0,3
2023-04-28,0,1,1,1,0,0,0,0,14,0,0,0,0,0,0
2023-04-29,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2023-05-02,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3
2023-05-03,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10
2023-05-04,2,0,0,0,0,0,0,0,6,0,0,0,0,0,13
2023-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-08,0,0,0,0,0,0,0,0,12,0,0,0,1,0,6
2023-05-09,6,0,6,2,0,0,0,0,44,3,0,0,0,0,7
2023-05-10,0,0,0,0,1,0,0,0,10,0,0,0,0,0,5
2023-05-11,3,0,0,0,0,0,0,0,12,0,0,1,0,0,4
2023-05-12,2,0,0,0,0,0,0,0,3,0,0,0,0,0,6
2023-05-17,7,0,2,0,0,0,0,0,9,0,0,0,1,7,0
2023-05-18,0,0,7,1,0,2,0,0,22,0,0,0,0,0,0
2023-05-19,4,0,0,0,0,0,2,0,5,0,0,0,0,0,0
2023-05-20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2023-05-22,0,0,3,5,0,0,0,0,13,4,0,0,0,0,3
2023-05-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-05-29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
2023-05-30,2,0,0,0,0,0,0,0,22,2,0,1,0,0,0
2023-05-31,0,0,2,0,0,0,0,0,3,1,0,0,0,0,6
2023-06-01,4,0,0,0,0,0,0,0,11,0,0,0,1,0,1
2023-06-02,9,0,0,0,6,0,1,0,13,0,0,0,0,0,0
2023-06-03,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0
2023-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2023-06-06,0,0,10,0,0,2,0,0,0,0,0,0,0,0,6
2023-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-09,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3
2023-06-10,0,0,4,0,0,1,8,0,22,1,0,0,20,0,39
2023-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-12,0,0,0,1,0,2,0,0,8,1,11,0,1,4,0
2023-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0

2023-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
